artist,title,year,date,TV
Roddy Ricch,Start Wit Me (feat. Gunna),2019,2019-12-06,46.70608958228487
Cordae,RNP (feat. Anderson .Paak),2019,2019-07-26,61.43377483443707
Cordae,Have Mercy,2019,2019-07-26,47.1046590141796
YK Osiris,Valentine,2019,2019-10-11,27.18418933151601
YK Osiris,Ride,2019,2019-10-11,30.92820160938184
YK Osiris,Freaky Dancer (feat. DaBaby),2019,2019-06-21,41.9383846794338
Rico Nasty,Time Flies,2019,2019-07-24,34.48351971748088
Rico Nasty,Big Titties (feat. Baauer and EarthGang),2019,2019-04-25,62.8252508361204
Rico Nasty,Cold,2019,2019-04-25,84.40309382356239
Gunna,Who You Foolin,2019,2019-02-22,44.36501449059967
Gunna,Hot (Remix) [feat. Gunna and Travis Scott],2019,2019-11-01,49.27328815616466
Gunna,Baby Birkin,2019,2019-02-22,32.41235970624915
Blueface,Daddy (feat. Rich The Kid),2019,2019-08-09,54.331826985151686
Blueface,Bleed It,2019,2019-08-09,67.56035035248878
Blueface,Disrespectful,2019,2019-08-09,89.7604120017913
Megan Thee Stallion,Cash Shit (feat. DaBaby),2019,2019-05-17,77.32925922867288
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019,2019-08-09,59.76323529411765
Megan Thee Stallion,Sex Talk,2019,2019-05-17,83.63011081390906
Polo G,Martin & Gina,2020,2020-05-15,36.80604534005042
Polo G,Go Stupid,2020,2020-05-15,57.527056717389534
Polo G,21,2020,2020-05-15,35.883760683760705
CHIKA,SONGS ABOUT YOU,2020,2020-03-13,53.63866222273302
CHIKA,FWB,2020,2020-12-11,54.16059447370318
CHIKA,CROWN,2020,2020-03-13,53.162077104642016
NLE Choppa,Walk Em Down (feat. Roddy Ricch),2020,2020-08-10,40.60337044839002
NLE Choppa,Camelot,2020,2020-08-10,61.02543640897756
NLE Choppa,Picture Me Grapin’,2020,2020-11-01,48.79985408560312
Jack Harlow,WHATS POPPIN,2020,2020-03-13,59.94216382724588
Jack Harlow,Tyler Herro,2020,2020-12-11,57.3600950987564
Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),2020,2020-03-13,41.25600468658465
Lil Keed,Wavy (Remix) [feat. Travis Scott],2020,2020-08-07,37.88048633267224
Lil Keed,She Know (feat. Lil Baby),2020,2020-08-07,45.18427852577181
Lil Keed,Fox 5 (feat. Gunna),2020,2020-08-07,40.90194718899868
Lil Tjay,Zoo York (feat. Fivio Foreign & Pop Smoke),2020,2020-05-08,56.191464342533045
Lil Tjay,Fade Away,2020,2020-04-17,39.38253590354043
Fivio Foreign,Big Drip,2020,2020-04-24,74.58179701144964
Fivio Foreign,Trust,2020,2020-11-27,62.123194667325016
Fivio Foreign,Wetty,2020,2020-04-24,68.04951088041526
Calboy,Fake Love (feat. Polo G),2020,2020-07-24,38.01720335244818
Calboy,Givenchy Kickin (feat. Lil Baby & Lil Tjay),2020,2020-02-21,44.8219306466729
Calboy,Gang Gang,2020,2020-10-21,40.9390887290168
Rod Wave,Rags2Riches 2 (feat. Lil Baby),2020,2020-08-07,39.790990420394266
Rod Wave,Letter From Houston,2020,2020-08-07,39.96284829721365
Rod Wave,Dark Clouds,2020,2020-04-03,39.27230046948359
